AB,,,AC,,,BC,,,ABC,,,CML AB,
0.409102074,0.164172213,,0.343461828,0.144847723,,0.195510113,0.178535841,,,,,,
0.412496702,0.16357064,,0.348299025,0.144685343,,0.196838347,0.178975034,,,,,,
0.41591606,0.162969066,,0.353168962,0.144522962,,0.198210055,0.179414227,,,,,,
0.419359544,0.162367493,,0.358070304,0.144360582,,0.199624342,0.17985342,,,,,,
0.422826564,0.161765919,,0.363001778,0.144198201,,0.201080308,0.180292613,,,,,,
0.426316546,0.161164346,,0.367962174,0.14403582,,0.202577055,0.180731806,,,,,,
0.42982893,0.160562772,,0.372950336,0.14387344,,0.204113687,0.181170998,,,,,,
0.433363172,0.159961199,,0.377965167,0.143711059,,0.205689308,0.181610191,,,,,,
0.436918741,0.159359625,,0.383005617,0.143548679,,0.20730303,0.182049384,,,,,,
0.440495122,0.158758052,,0.388070689,0.143386298,,0.208953971,0.182488577,,,,,,
0.44409181,0.158156478,,0.393159432,0.143223918,,0.210641254,0.18292777,,,,,,
0.447708318,0.157554905,,0.398270937,0.143061537,,0.212364015,0.183366963,,,,,,
0.451344167,0.156953331,,0.403404341,0.142899156,,0.214121396,0.183806156,,,,,,
0.454998895,0.156351758,,0.408558816,0.142736776,,0.215912552,0.184245349,,,,,,
0.458672051,0.155750184,,0.413733576,0.142574395,,0.21773665,0.184684542,,,,,,
0.462363194,0.155148611,,0.418927869,0.142412015,,0.219592869,0.185123735,,,,,,
0.466071899,0.154547037,,0.424140978,0.142249634,,0.221480401,0.185562928,,,,,,
0.469797748,0.153945464,,0.429372217,0.142087254,,0.223398453,0.186002121,,,,,,
0.473540338,0.15334389,,0.43462093,0.141924873,,0.225346244,0.186441314,,,,,,
0.477299273,0.152742316,,0.439886494,0.141762493,,0.227323012,0.186880507,,,,,,
0.481074173,0.152140743,,0.44516831,0.141600112,,0.229328005,0.1873197,,,,,,
0.484864662,0.151539169,,0.450465806,0.141437731,,0.231360491,0.187758893,,,,,,
0.488670379,0.150937596,,0.455778435,0.141275351,,0.233419752,0.188198086,,,,,,
0.492490971,0.150336022,,0.461105675,0.14111297,,0.235505085,0.188637279,,,,,,
0.496326094,0.149734449,,0.466447025,0.14095059,,0.237615803,0.189076472,,,,,,
0.500175413,0.149132875,,0.471802005,0.140788209,,0.239751236,0.189515665,,,,,,
0.504038604,0.148531302,,0.477170157,0.140625829,,0.24191073,0.189954858,,,,,,
0.507915351,0.147929728,,0.482551041,0.140463448,,0.244093646,0.190394051,,,,,,
0.511805344,0.147328155,,0.487944236,0.140301067,,0.246299362,0.190833244,,,,,,
0.515708284,0.146726581,,0.493349338,0.140138687,,0.248527269,0.191272437,,,,,,
0.51962388,0.146125008,,0.49876596,0.139976306,,0.250776778,0.19171163,,,,,,
0.523551848,0.145523434,,0.504193731,0.139813926,,0.253047311,0.192150822,,,,,,
0.527491911,0.144921861,,0.509632294,0.139651545,,0.255338308,0.192590015,,,,,,
0.5314438,0.144320287,,0.515081308,0.139489165,,0.257649222,0.193029208,,,,,,
0.535407253,0.143718714,,0.520540445,0.139326784,,0.259979524,0.193468401,,,,,,
0.539382016,0.14311714,,0.526009389,0.139164403,,0.262328696,0.193907594,,,,,,
0.543367839,0.142515567,,0.531487837,0.139002023,,0.264696235,0.194346787,,,,,,
0.547364483,0.141913993,,0.536975499,0.138839642,,0.267081654,0.19478598,,,,,,
0.55137171,0.141312419,,0.542472095,0.138677262,,0.269484477,0.195225173,,,,,,
0.555389293,0.140710846,,0.547977357,0.138514881,,0.271904244,0.195664366,,,,,,
0.559417008,0.140109272,,0.553491025,0.138352501,,0.274340505,0.196103559,,,,,,
0.563454638,0.139507699,,0.559012851,0.13819012,,0.276792825,0.196542752,,,,,,
0.56750197,0.138906125,,0.564542595,0.138027739,,0.279260782,0.196981945,,,,,,
0.5715588,0.138304552,,0.570080028,0.137865359,,0.281743963,0.197421138,,,,,,
0.575624926,0.137702978,,0.575624926,0.137702978,,0.284241971,0.197860331,,,,,,
